user_id,event_type,event_time,product_id,amount
0b79b857c3765b2e,checkout,2023-06-03 04:13:00,P010,1686.795
6e542f6d1814a828,wishlist_add,2023-06-03 05:08:00,P020,2900.63
9409c82689e6d63d,profile_update,2023-06-05 06:22:00,P028,1664.01
43cb71001c80e2d9,page_view,2023-06-06 03:45:00,P001,1643.72
d0ae53d06763a811,wishlist_add,2023-06-03 12:38:00,P015,1728.27
96c8a849c341d381,login,2023-06-04 03:13:00,P018,2185.84
a2292c0d50de8158,checkout,2023-06-06 08:16:00,P006,2875.06
8c921d5459468bb7,logout,2023-06-01 13:12:00,P005,1316.68
3105e9889ef18ad3,logout,2023-06-05 17:55:00,P025,1316.68
77698987d4dcaa2e,profile_update,2023-06-05 03:26:00,P026,1664.01
bb60440d07037970,wishlist_add,2023-06-06 08:09:00,P010,986.77
ff898101f4323e1c,search,2023-06-02 00:29:00,P026,2528.03
59970ccedbe2eb2d,checkout,2023-06-02 09:02:00,P029,1686.795
f833a5c2afa28c3a,add_to_cart,2023-06-03 06:23:00,P012,1771.295
27c5538a4ec91596,add_to_cart,2023-06-05 22:38:00,P027,1771.295
dcd908ed58a91efa,profile_update,2023-06-04 23:33:00,P007,1664.01
1eca661c6cde4105,profile_update,2023-06-02 12:51:00,P008,597.66
564b2d0b9e94967b,page_view,2023-06-03 08:43:00,P025,1643.72
9a2768064c8f707f,page_view,2023-06-04 20:55:00,P004,2685.69
97c64c6be4d20cb0,profile_update,2023-06-04 15:52:00,P024,1157.58
3b8584e34ecfed9b,wishlist_add,2023-06-03 18:11:00,P014,695.42
ddba025adb4f504b,wishlist_add,2023-06-05 12:52:00,P020,2910.47
cc149ab6ccef7d14,search,2023-06-02 16:28:00,P024,2027.93
d85c6ec3bf289c40,add_to_cart,2023-06-04 09:10:00,P003,1771.295
5e07c172b37d2665,wishlist_add,2023-06-01 17:47:00,P015,2483.79
89c196f27cf84a59,wishlist_add,2023-06-05 14:57:00,P019,1727.7150000000001
88b49e7ad035773c,login,2023-06-05 05:24:00,P004,763.39
ab6572536851e01c,page_view,2023-06-06 14:23:00,P011,562.53
522872cf3599c692,search,2023-06-04 22:12:00,P014,1681.26
8fd459fffa1e9fa8,profile_update,2023-06-02 02:18:00,P003,1664.01
16a2955b2aca9515,page_view,2023-06-04 20:16:00,P020,1491.28
8c921d5459468bb7,wishlist_add,2023-06-05 22:19:00,P003,1727.7150000000001
7ec0e0f0abd48130,wishlist_add,2023-06-01 09:14:00,P030,2906.11
9ff7050888d4aa91,add_to_cart,2023-06-05 17:29:00,P017,1771.295
1146cb24ebca84e7,page_view,2023-06-04 22:06:00,P017,1643.72
2bc621ee4a5d6df7,login,2023-06-02 19:23:00,P024,1462.7350000000001
23693474618a09ae,add_to_cart,2023-06-04 06:32:00,P005,528.55
4cf5d35ab1510fd0,page_view,2023-06-01 19:22:00,P001,2426.87
d16d25d1760a354c,wishlist_add,2023-06-05 16:32:00,P013,856.11
1fb213cd384f6729,page_view,2023-06-04 09:06:00,P019,1643.72
4b0cfb732d282470,checkout,2023-06-03 00:09:00,P024,939.67
97c64c6be4d20cb0,add_to_cart,2023-06-03 18:59:00,P006,933.2
a2292c0d50de8158,profile_update,2023-06-05 13:03:00,P001,2809.18
f33daedca7221304,wishlist_add,2023-06-02 10:06:00,P008,1727.7150000000001
7345165af78b38d7,page_view,2023-06-05 02:39:00,P022,1643.72
cdcb0911fdefdee7,search,2023-06-02 22:33:00,P021,1681.26
b9d7692902701edf,login,2023-06-02 17:39:00,P011,991.76
c5e92ed9cb6348c7,logout,2023-06-06 09:57:00,P014,1474.75
2ddaaaef3fb94a11,checkout,2023-06-01 10:04:00,P025,1708.83
50089230e1e5db62,wishlist_add,2023-06-02 13:53:00,P021,1727.7150000000001
e0a5e770b9771fe5,page_view,2023-06-05 18:46:00,P030,2856.44
c2c544b3723bdd42,profile_update,2023-06-05 01:17:00,P004,1664.01
53599334c4f1de22,search,2023-06-05 13:08:00,P011,2492.85
81d3c82a3d22696a,logout,2023-06-04 16:28:00,P002,1316.68
02445e3b05611b85,checkout,2023-06-05 19:54:00,P023,1686.795
9cda5d1b12944e2b,profile_update,2023-06-06 16:24:00,P024,2441.69
df7f2321f35831b3,page_view,2023-06-02 01:40:00,P012,1643.72
1e61421de7871bdb,page_view,2023-06-05 15:46:00,P025,1643.72
baf49f8702376bf9,login,2023-06-06 17:49:00,P017,1211.64
0f08a4a7470621ce,search,2023-06-02 11:40:00,P006,1681.26
dc2282c27324fc18,search,2023-06-06 18:02:00,P009,1681.26
263c8e9c64e3ea9b,login,2023-06-05 17:05:00,P026,1462.7350000000001
d650526346aee940,login,2023-06-05 04:22:00,P024,1462.7350000000001
16a2955b2aca9515,logout,2023-06-03 13:22:00,P020,1316.68
1b489406560a1c07,page_view,2023-06-05 14:03:00,P012,1649.38
b7a79e527d695064,add_to_cart,2023-06-04 10:50:00,P001,921.94
bb60934b16dcc8b8,page_view,2023-06-03 20:24:00,P019,1643.72
1e61421de7871bdb,logout,2023-06-03 22:44:00,P012,1316.68
6cf94c500da20a0b,checkout,2023-06-04 03:49:00,P023,1686.795
23693474618a09ae,wishlist_add,2023-06-05 18:48:00,P006,1727.7150000000001
d81b7026ad55c4d0,search,2023-06-03 02:08:00,P026,1681.26
ab6572536851e01c,profile_update,2023-06-03 22:57:00,P024,1664.01
0c82e5d819b7b05a,login,2023-06-02 05:17:00,P017,1462.7350000000001
0944a2c02853d47b,search,2023-06-04 13:58:00,P018,1681.26
960bc83e63f29be6,login,2023-06-05 14:12:00,P004,1462.7350000000001
5e45d1b815cfea74,login,2023-06-02 01:05:00,P019,575.4
d3407354a361a9fa,checkout,2023-06-01 12:59:00,P004,1686.795
ad82fdb7990c21f6,search,2023-06-04 05:40:00,P019,747.18
e4ca3e362c0e8d3c,add_to_cart,2023-06-01 23:07:00,P006,769.71
