user_key,product_key,event_type_key,date_key,session_id,event_time,amount,minutes_since_prev
1,19,1,20230602,02445e3b05611b85_S1,2023-06-02 22:51:00,1771.295,
1,8,8,20230604,02445e3b05611b85_S2,2023-06-04 10:26:00,2533.16,2135.0
1,23,2,20230605,02445e3b05611b85_S3,2023-06-05 19:54:00,1686.795,2008.0
2,7,5,20230602,02d7e9358a810d46_S1,2023-06-02 22:44:00,2722.57,
2,16,3,20230604,02d7e9358a810d46_S2,2023-06-04 03:14:00,1011.97,1710.0
2,28,6,20230604,02d7e9358a810d46_S3,2023-06-04 11:37:00,1444.58,503.0
2,20,2,20230606,02d7e9358a810d46_S4,2023-06-06 16:41:00,1686.795,3184.0
3,28,1,20230601,02e8f7b0c33be88e_S1,2023-06-01 15:42:00,1771.295,
3,7,7,20230601,02e8f7b0c33be88e_S2,2023-06-01 20:54:00,2777.57,312.0
3,23,6,20230602,02e8f7b0c33be88e_S3,2023-06-02 15:42:00,1664.01,1128.0
3,29,1,20230604,02e8f7b0c33be88e_S4,2023-06-04 04:01:00,1771.295,2179.0
3,21,2,20230604,02e8f7b0c33be88e_S5,2023-06-04 05:35:00,1686.795,94.0
3,17,1,20230606,02e8f7b0c33be88e_S6,2023-06-06 02:53:00,1771.295,2718.0
4,9,2,20230604,03e994e29c20d135_S1,2023-06-04 14:16:00,2223.09,
4,30,4,20230605,03e994e29c20d135_S2,2023-06-05 02:53:00,164.57,757.0
4,9,8,20230605,03e994e29c20d135_S3,2023-06-05 18:01:00,1662.6,908.0
5,20,3,20230601,0435180e0c345d38_S1,2023-06-01 12:21:00,2448.64,
5,30,4,20230601,0435180e0c345d38_S2,2023-06-01 21:42:00,1316.68,561.0
5,29,6,20230602,0435180e0c345d38_S3,2023-06-02 06:35:00,2764.26,533.0
5,30,1,20230603,0435180e0c345d38_S4,2023-06-03 20:05:00,1771.295,2250.0
5,24,1,20230603,0435180e0c345d38_S5,2023-06-03 21:23:00,1771.295,78.0
5,17,2,20230604,0435180e0c345d38_S6,2023-06-04 21:51:00,2935.34,1468.0
5,6,6,20230605,0435180e0c345d38_S7,2023-06-05 12:24:00,1664.01,873.0
5,27,7,20230605,0435180e0c345d38_S8,2023-06-05 19:14:00,2089.6,410.0
5,21,7,20230605,0435180e0c345d38_S9,2023-06-05 20:28:00,1681.26,74.0
5,5,8,20230606,0435180e0c345d38_S10,2023-06-06 11:41:00,1934.35,913.0
6,24,3,20230604,05cf31a638f06227_S1,2023-06-04 05:33:00,909.43,
6,10,5,20230604,05cf31a638f06227_S2,2023-06-04 13:05:00,1643.72,452.0
7,11,4,20230601,06fabfef48f34687_S1,2023-06-01 20:10:00,1316.68,
7,11,1,20230602,06fabfef48f34687_S2,2023-06-02 09:59:00,1771.295,829.0
7,13,2,20230603,06fabfef48f34687_S3,2023-06-03 17:45:00,1686.795,1906.0
7,7,7,20230604,06fabfef48f34687_S4,2023-06-04 02:52:00,1681.26,547.0
7,2,6,20230605,06fabfef48f34687_S5,2023-06-05 11:20:00,1664.01,1948.0
8,6,7,20230601,07224314810e55aa_S1,2023-06-01 23:33:00,2885.37,
8,17,8,20230602,07224314810e55aa_S2,2023-06-02 20:59:00,289.79,1286.0
8,9,6,20230603,07224314810e55aa_S3,2023-06-03 12:48:00,1664.01,949.0
8,13,1,20230603,07224314810e55aa_S4,2023-06-03 21:59:00,1771.295,551.0
8,29,6,20230604,07224314810e55aa_S5,2023-06-04 07:02:00,1880.75,543.0
8,29,8,20230605,07224314810e55aa_S6,2023-06-05 09:41:00,1727.715,1599.0
8,10,4,20230605,07224314810e55aa_S7,2023-06-05 11:53:00,1316.68,132.0
8,1,1,20230605,07224314810e55aa_S8,2023-06-05 13:09:00,1771.295,76.0
9,23,3,20230602,072a348755cbbc38_S1,2023-06-02 02:59:00,1462.735,
9,30,2,20230603,072a348755cbbc38_S2,2023-06-03 16:29:00,2361.96,2250.0
9,17,5,20230605,072a348755cbbc38_S3,2023-06-05 16:25:00,1643.72,2876.0
9,25,3,20230605,072a348755cbbc38_S4,2023-06-05 17:50:00,1462.735,85.0
9,28,2,20230606,072a348755cbbc38_S5,2023-06-06 10:48:00,1686.795,1018.0
9,21,7,20230606,072a348755cbbc38_S6,2023-06-06 17:03:00,1681.26,375.0
10,18,5,20230601,087a33754f309c57_S1,2023-06-01 15:48:00,1643.72,
10,27,1,20230603,087a33754f309c57_S2,2023-06-03 09:37:00,1243.11,2509.0
10,7,2,20230603,087a33754f309c57_S2,2023-06-03 09:42:00,1686.795,5.0
10,23,6,20230603,087a33754f309c57_S3,2023-06-03 22:54:00,1133.27,792.0
10,11,4,20230605,087a33754f309c57_S4,2023-06-05 13:41:00,1988.99,2327.0
10,9,3,20230605,087a33754f309c57_S5,2023-06-05 16:06:00,1120.55,145.0
10,28,4,20230606,087a33754f309c57_S6,2023-06-06 01:14:00,1316.68,548.0
10,24,6,20230606,087a33754f309c57_S7,2023-06-06 02:51:00,1086.06,97.0
11,17,6,20230602,0944a2c02853d47b_S1,2023-06-02 05:27:00,1664.01,
11,14,1,20230602,0944a2c02853d47b_S2,2023-06-02 06:02:00,2160.46,35.0
11,4,2,20230603,0944a2c02853d47b_S3,2023-06-03 19:41:00,1686.795,2259.0
11,18,7,20230604,0944a2c02853d47b_S4,2023-06-04 13:58:00,1681.26,1097.0
11,11,5,20230606,0944a2c02853d47b_S5,2023-06-06 11:25:00,1643.72,2727.0
12,4,1,20230601,0a617f6aad8b74ad_S1,2023-06-01 17:08:00,1771.295,
12,23,1,20230601,0a617f6aad8b74ad_S2,2023-06-01 18:01:00,1771.295,53.0
12,16,4,20230602,0a617f6aad8b74ad_S3,2023-06-02 06:16:00,1426.39,735.0
12,18,8,20230602,0a617f6aad8b74ad_S4,2023-06-02 12:27:00,1593.37,371.0
12,6,5,20230604,0a617f6aad8b74ad_S5,2023-06-04 16:25:00,1643.72,3118.0
12,15,1,20230605,0a617f6aad8b74ad_S6,2023-06-05 03:18:00,2593.36,653.0
12,5,2,20230605,0a617f6aad8b74ad_S7,2023-06-05 22:18:00,1686.795,1140.0
13,20,5,20230601,0ac5a4619bcbffae_S1,2023-06-01 08:22:00,899.79,
13,21,6,20230601,0ac5a4619bcbffae_S2,2023-06-01 12:16:00,1664.01,234.0
13,15,8,20230603,0ac5a4619bcbffae_S3,2023-06-03 04:44:00,2630.61,2428.0
13,8,7,20230603,0ac5a4619bcbffae_S3,2023-06-03 04:45:00,1533.73,1.0
13,30,7,20230603,0ac5a4619bcbffae_S4,2023-06-03 15:19:00,1080.93,634.0
14,6,8,20230602,0aea823e170202ea_S1,2023-06-02 09:55:00,2471.81,
14,26,3,20230603,0aea823e170202ea_S2,2023-06-03 10:54:00,2595.28,1499.0
14,6,2,20230604,0aea823e170202ea_S3,2023-06-04 08:25:00,1686.795,1291.0
14,1,8,20230604,0aea823e170202ea_S3,2023-06-04 08:33:00,360.21,8.0
14,18,3,20230604,0aea823e170202ea_S4,2023-06-04 17:04:00,2277.67,511.0
15,11,2,20230601,0b79b857c3765b2e_S1,2023-06-01 12:38:00,1269.79,
15,24,6,20230602,0b79b857c3765b2e_S2,2023-06-02 02:25:00,2334.22,827.0
15,10,2,20230603,0b79b857c3765b2e_S3,2023-06-03 04:13:00,1686.795,1548.0
15,11,8,20230604,0b79b857c3765b2e_S4,2023-06-04 08:04:00,1727.715,1671.0
15,10,3,20230604,0b79b857c3765b2e_S5,2023-06-04 21:26:00,1462.735,802.0
15,24,1,20230605,0b79b857c3765b2e_S6,2023-06-05 11:06:00,1771.295,820.0
15,26,8,20230605,0b79b857c3765b2e_S7,2023-06-05 15:25:00,1727.715,259.0
15,1,5,20230606,0b79b857c3765b2e_S8,2023-06-06 18:16:00,1546.27,1611.0
16,2,2,20230601,0bbd7ccb1dfe8bb6_S1,2023-06-01 08:25:00,1686.795,
16,9,1,20230601,0bbd7ccb1dfe8bb6_S2,2023-06-01 21:20:00,1771.295,775.0
16,25,5,20230602,0bbd7ccb1dfe8bb6_S3,2023-06-02 08:08:00,1532.03,648.0
16,23,7,20230605,0bbd7ccb1dfe8bb6_S4,2023-06-05 17:55:00,2975.83,4907.0
16,2,3,20230606,0bbd7ccb1dfe8bb6_S5,2023-06-06 06:38:00,1462.735,763.0
17,26,8,20230602,0c80c00c07aa85eb_S1,2023-06-02 10:00:00,1727.715,
17,23,4,20230603,0c80c00c07aa85eb_S2,2023-06-03 21:11:00,1316.68,2111.0
17,21,7,20230604,0c80c00c07aa85eb_S3,2023-06-04 05:54:00,1681.26,523.0
17,20,1,20230605,0c80c00c07aa85eb_S4,2023-06-05 18:43:00,2928.89,2209.0
18,26,8,20230601,0c82e5d819b7b05a_S1,2023-06-01 21:17:00,947.3,
18,17,3,20230602,0c82e5d819b7b05a_S2,2023-06-02 05:17:00,1462.735,480.0
18,16,7,20230604,0c82e5d819b7b05a_S3,2023-06-04 08:23:00,1681.26,3066.0
18,3,7,20230605,0c82e5d819b7b05a_S4,2023-06-05 16:08:00,1681.26,1905.0
18,10,8,20230606,0c82e5d819b7b05a_S5,2023-06-06 06:51:00,1727.715,883.0
19,23,2,20230601,0c85c2c4649fdfb4_S1,2023-06-01 14:41:00,1686.795,
19,23,8,20230603,0c85c2c4649fdfb4_S2,2023-06-03 17:32:00,1727.715,3051.0
19,11,4,20230604,0c85c2c4649fdfb4_S3,2023-06-04 08:45:00,2141.08,913.0
19,19,5,20230604,0c85c2c4649fdfb4_S4,2023-06-04 09:34:00,1643.72,49.0
19,21,7,20230604,0c85c2c4649fdfb4_S5,2023-06-04 17:59:00,2538.58,505.0
19,30,2,20230605,0c85c2c4649fdfb4_S6,2023-06-05 13:40:00,1105.33,1181.0
20,1,4,20230601,0ca5904969f10b1d_S1,2023-06-01 08:04:00,625.98,
20,16,7,20230603,0ca5904969f10b1d_S2,2023-06-03 11:58:00,533.77,3114.0
20,16,5,20230603,0ca5904969f10b1d_S3,2023-06-03 15:20:00,1429.37,202.0
20,29,3,20230604,0ca5904969f10b1d_S4,2023-06-04 09:02:00,1462.735,1062.0
20,13,4,20230606,0ca5904969f10b1d_S5,2023-06-06 11:35:00,944.67,3033.0
21,3,2,20230605,0e3c612eb42382e6_S1,2023-06-05 03:25:00,2683.28,
21,9,1,20230605,0e3c612eb42382e6_S2,2023-06-05 04:45:00,1771.295,80.0
21,27,3,20230605,0e3c612eb42382e6_S3,2023-06-05 11:32:00,1723.5,407.0
21,15,5,20230605,0e3c612eb42382e6_S4,2023-06-05 14:05:00,2185.6,153.0
21,7,5,20230606,0e3c612eb42382e6_S5,2023-06-06 02:48:00,1643.72,763.0
22,10,2,20230601,0e4bd368f91f95e4_S1,2023-06-01 23:32:00,1686.795,
22,26,3,20230604,0e4bd368f91f95e4_S2,2023-06-04 13:40:00,2160.94,3728.0
22,6,4,20230605,0e4bd368f91f95e4_S3,2023-06-05 18:19:00,290.38,1719.0
23,14,2,20230601,0f08a4a7470621ce_S1,2023-06-01 17:12:00,238.02,
23,30,6,20230601,0f08a4a7470621ce_S2,2023-06-01 22:14:00,2912.04,302.0
23,6,7,20230602,0f08a4a7470621ce_S3,2023-06-02 11:40:00,1681.26,806.0
23,23,5,20230602,0f08a4a7470621ce_S4,2023-06-02 14:38:00,1643.72,178.0
23,29,1,20230606,0f08a4a7470621ce_S5,2023-06-06 02:41:00,1771.295,5043.0
23,11,1,20230606,0f08a4a7470621ce_S6,2023-06-06 03:53:00,2181.61,72.0
24,25,1,20230601,104c4e40cb404b4a_S1,2023-06-01 22:38:00,459.27,
24,7,1,20230602,104c4e40cb404b4a_S2,2023-06-02 12:38:00,1771.295,840.0
24,20,3,20230603,104c4e40cb404b4a_S3,2023-06-03 21:23:00,1462.735,1965.0
24,11,8,20230604,104c4e40cb404b4a_S4,2023-06-04 07:28:00,1921.51,605.0
24,7,2,20230604,104c4e40cb404b4a_S5,2023-06-04 20:58:00,1204.46,810.0
24,22,8,20230605,104c4e40cb404b4a_S6,2023-06-05 00:43:00,1727.715,225.0
25,16,6,20230601,108753aaf999dcb8_S1,2023-06-01 11:54:00,1234.88,
25,9,5,20230601,108753aaf999dcb8_S2,2023-06-01 16:10:00,1643.72,256.0
25,16,2,20230603,108753aaf999dcb8_S3,2023-06-03 03:00:00,810.87,2090.0
25,20,1,20230603,108753aaf999dcb8_S4,2023-06-03 18:14:00,1248.97,914.0
25,21,5,20230605,108753aaf999dcb8_S5,2023-06-05 12:36:00,2704.26,2542.0
